Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
798;17700155709;Fire Ecology;journal;19339747;0,877;Q1;23;15;77;857;171;77;2,02;57,13;United States;Association for Fire Ecology;2009-ongoing;"Environmental Science (miscellaneous) (Q1); Forestry (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
799;21100470767;Prostate Cancer;journal;20903111, 2090312X;0,877;Q2;9;1;25;31;65;24;2,67;31;Egypt;Hindawi Publishing Corporation;2015-ongoing;"Oncology (Q2); Urology (Q2); Cancer Research (Q3)"
800;21100830173;PeerJ Computer Science;journal;23765992;0,874;Q1;10;15;94;600;316;94;3,67;40;United States;PeerJ Inc.;2015-ongoing;Computer Science (miscellaneous) (Q1)
801;17905;Yeast;journal;10970061, 0749503X;0,874;Q2;95;63;149;3932;361;144;2,35;62,41;United States;John Wiley & Sons Inc.;1985-ongoing;"Applied Microbiology and Biotechnology (Q2); Biochemistry (Q2); Bioengineering (Q2); Biotechnology (Q2); Medicine (miscellaneous) (Q2); Genetics (Q3)"
802;20238;Journal of Microbiology, Immunology and Infection;journal;16841182;0,872;Q2;48;181;456;4537;821;362;2,33;25,07;Taiwan;Elsevier Taiwan;1998-ongoing;"Immunology and Allergy (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
803;21100854858;Multiple Sclerosis and Demyelinating Disorders;journal;20566115;0,872;Q2;1;0;2;0;5;2;2,5;0;United Kingdom;BioMed Central Ltd.;2017-ongoing;"Immunology and Allergy (Q2); Neurology (Q2); Neurology (clinical) (Q2); Immunology (Q3)"
804;21100202907;International Journal of Communication;journal;19328036;0,871;Q1;27;26;760;1423;1174;754;1,28;54,73;United States;USC Annenberg School for Communication & Journalism;2011-ongoing;Communication (Q1)
805;21100397702;Journal of Blood Medicine;journal;11792736;0,871;Q2;14;18;84;637;249;82;2,96;35,39;New Zealand;Dove Medical Press Ltd.;2014-ongoing;Hematology (Q2)
806;21100791701;Journal of Pathology Informatics;journal;22295089, 21533539;0,871;Q1;9;48;98;1241;262;91;2,88;25,85;India;Medknow Publications and Media Pvt. Ltd;2016-ongoing;"Computer Science Applications (Q1); Health Informatics (Q1); Pathology and Forensic Medicine (Q1)"
807;21100218055;BMC pharmacology & toxicology;journal;20506511;0,87;Q2;23;88;188;2887;450;185;2,25;32,81;United Kingdom;BioMed Central;2012-ongoing;"Medicine (miscellaneous) (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2)"
808;21100464683;BMC Psychology;journal;20507283;0,87;Q2;12;62;146;3046;360;143;2,17;49,13;United Kingdom;BioMed Central;2013-ongoing;"Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)"
809;4400151412;Journal of Preventive Medicine and Public Health;journal;2545985;0,87;Q2;27;45;126;1243;232;120;2,07;27,62;South Korea;Korean Society for Preventive Medicine;2006-ongoing;"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
810;4700152452;Biochemia Medica;journal;13300962;0,869;Q2;35;62;165;1345;613;158;2,26;21,69;Croatia;Hrvatsko drustvo medicinskih biokemicara;2006-ongoing;"Biochemistry (medical) (Q2); Clinical Biochemistry (Q2)"
811;19700183007;Breathe;journal;18106838, 20734735;0,868;Q2;14;62;175;1255;276;92;2,01;20,24;United Kingdom;European Respiratory Society;2010-ongoing;Pulmonary and Respiratory Medicine (Q2)
812;12156;Journal of Biomedical Optics;journal;10833668;0,868;Q1;123;325;1309;12938;3388;1270;2,78;39,81;United States;S P I E - International Society for Optical Engineering;1996-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1); Biomaterials (Q2); Biomedical Engineering (Q2)"
813;29729;Disease Markers;journal;2780240;0,867;Q2;58;208;564;6860;1487;547;2,56;32,98;Egypt;Hindawi Publishing Corporation;1983-ongoing;"Biochemistry (medical) (Q2); Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3)"
814;21100228315;International Journal of Shoulder Surgery;journal;9736042;0,866;Q1;15;0;50;0;63;40;1,71;0;South Africa;Cape Shoulder Institute;2010-ongoing;"Surgery (Q1); Orthopedics and Sports Medicine (Q2)"
815;21100854881;Bioactive Materials;journal;2452199X;0,865;Q2;9;47;50;2972;219;45;4,87;63,23;Netherlands;KeAi Communications Co;2016-ongoing;"Biomaterials (Q2); Biomedical Engineering (Q2); Biotechnology (Q2)"
816;32805;Tellus, Series B: Chemical and Physical Meteorology;journal;16000889, 02806509;0,863;Q2;95;21;97;1213;175;94;2,12;57,76;United Kingdom;Taylor & Francis;1983-ongoing;Atmospheric Science (Q2)
817;91796;Progress in Orthodontics;journal;17237785, 21961042;0,862;Q2;22;47;130;1509;205;129;1,43;32,11;Germany;Springer Verlag;2003-ongoing;Orthodontics (Q2)
818;16800154727;Water Alternatives;journal;19650175;0,862;Q1;33;22;118;1732;315;118;1,49;78,73;United States;Water Alternatives Association;2008-ongoing;"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Water Science and Technology (Q1); Management, Monitoring, Policy and Law (Q2)"
819;21100834704;Frontiers in Ecology and Evolution;journal;2296701X;0,861;Q1;9;222;168;16558;325;157;2,08;74,59;Switzerland;Frontiers Media S.A.;2017-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
820;21100863819;Journal of Integrated Pest Management;journal;21557470;0,861;Q1;18;24;63;1900;146;61;2,33;79,17;United Kingdom;Oxford University Press;2010-ongoing;"Agronomy and Crop Science (Q1); Insect Science (Q1); Plant Science (Q1); Management, Monitoring, Policy and Law (Q2)"
821;19605;Australian and New Zealand Journal of Public Health;journal;13260200;0,858;Q2;70;124;398;3563;750;319;2,03;28,73;United States;Wiley-Blackwell;1996-ongoing;Public Health, Environmental and Occupational Health (Q2)
822;21100201997;Journal of Information Display;journal;15980316, 21581606;0,856;Q1;18;23;77;626;218;77;3,7;27,22;United Kingdom;Taylor & Francis;2000-ongoing;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1)"
823;19363;Arctic, Antarctic, and Alpine Research;journal;15230430;0,855;Q1;67;57;153;3345;332;150;1,76;58,68;United States;University of Colorado;1996-ongoing;"Earth-Surface Processes (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Global and Planetary Change (Q2)"
824;144790;Marine Drugs;journal;16603397;0,855;Q2;84;520;1011;26965;4612;1004;3,81;51,86;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2005-ongoing;Drug Discovery (Q2)
825;17461;European Journal of Histochemistry;journal;1121760X;0,854;Q2;38;44;141;1808;309;139;2,18;41,09;Italy;PagePress;1992-ongoing;"Biophysics (Q2); Histology (Q2); Medicine (miscellaneous) (Q2); Cell Biology (Q3)"
826;19700188446;International Journal of Endocrinology;journal;16878337, 16878345;0,854;Q2;46;193;570;9569;1317;542;2,18;49,58;Egypt;Hindawi Publishing Corporation;2009-ongoing;"Endocrine and Autonomic Systems (Q2); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
827;21100246506;Journal of Choice Modelling;journal;17555345;0,854;Q1;20;44;62;1633;137;59;2,33;37,11;Netherlands;Elsevier BV;2008-ongoing;"Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q2)"
828;21100204917;Statistics Education Research Journal;journal;15701824;0,854;Q1;10;23;77;1103;75;73;0,98;47,96;New Zealand;International Association for Statistical Education (IASE);2011-ongoing;"Education (Q1); Statistics and Probability (Q2)"
829;19590;Archives of Public Health;journal;20493258, 07787367;0,853;Q2;21;79;185;3026;431;165;2,25;38,3;United Kingdom;BioMed Central Ltd.;1996-2006, 2008-2012, 2014-ongoing;Public Health, Environmental and Occupational Health (Q2)
830;21100332402;Catalysts;journal;20734344;0,853;Q2;31;674;735;38684;2618;712;3,45;57,39;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2011-ongoing;"Catalysis (Q2); Physical and Theoretical Chemistry (Q2)"
831;16865;Acta Sociologica;journal;00016993, 15023869;0,852;Q1;43;46;61;2000;118;60;1,7;43,48;United States;SAGE Publications;1956, 1962, 1964-ongoing;Sociology and Political Science (Q1)
832;21100218076;Subterranean Biology;journal;17681448;0,852;Q1;8;17;50;514;91;49;2;30,24;United States;Pensoft Publishers;2011-ongoing;"Soil Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
833;20790;Upsala Journal of Medical Sciences;journal;20001967, 03009734;0,852;Q2;33;36;122;1296;283;105;2,61;36;United Kingdom;Taylor & Francis;1972-ongoing;Medicine (miscellaneous) (Q2)
834;5700164380;Comunicar;journal;11343478;0,851;Q1;26;40;120;1666;332;120;2,66;41,65;Spain;Grupo Comunicar, Colectivo Andaluz de Educacion en Medios de Comunicacion;2008-ongoing;"Communication (Q1); Cultural Studies (Q1); Education (Q1)"
835;21100467354;Pulmonary Circulation;journal;20458932, 20458940;0,851;Q2;32;148;262;6576;557;239;2,14;44,43;United States;SAGE Publications Inc.;2011-ongoing;Pulmonary and Respiratory Medicine (Q2)
836;21100198493;Aquaculture Environment Interactions;journal;1869215X, 18697534;0,848;Q1;23;31;93;1812;260;89;2,19;58,45;Germany;Inter-Research;2011-ongoing;"Aquatic Science (Q1); Water Science and Technology (Q1); Management, Monitoring, Policy and Law (Q2)"
837;4300151401;BMC Veterinary Research;journal;17466148;0,848;Q1;46;419;1021;14962;2092;1004;1,86;35,71;United Kingdom;BioMed Central;2005-ongoing;"Veterinary (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
838;21100818505;Theory of Computing;journal;15572862;0,847;Q1;14;14;62;556;132;56;1,05;39,71;United States;University of Chicago, Department of Computer Science;2016-ongoing;"Computational Theory and Mathematics (Q1); Theoretical Computer Science (Q1)"
839;21100853506;Ultrasonography;journal;22885919, 22885943;0,847;Q2;15;42;117;1191;330;110;2,89;28,36;South Korea;Korean Society of Ultrasound in Medicine;2014-ongoing;Radiology, Nuclear Medicine and Imaging (Q2)
840;21100874320;Pathobiology of Aging and Age-related Diseases;journal;20010001;0,846;Q2;2;0;3;0;3;3;1;0;United Kingdom;Taylor and Francis Ltd.;2016-ongoing;"Geriatrics and Gerontology (Q2); Histology (Q2); Aging (Q3)"
841;20046;Reproductive Health Matters;journal;09688080, 14609576;0,846;Q2;51;43;137;1051;286;113;2,35;24,44;United Kingdom;Taylor & Francis;1993-ongoing;"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
842;21100819607;Egyptian Journal of Petroleum;journal;11100621, 20902468;0,844;Q1;19;143;216;5181;874;215;4,44;36,23;Egypt;Egyptian Petroleum Research Institute;2011-ongoing;"Fuel Technology (Q1); Organic Chemistry (Q1); Process Chemistry and Technology (Q1); Catalysis (Q2); Geochemistry and Petrology (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
843;130149;Hereditary Cancer in Clinical Practice;journal;18974287, 17312302;0,843;Q2;21;14;56;388;119;54;1,92;27,71;United Kingdom;BioMed Central;2004-ongoing;"Oncology (Q2); Genetics (clinical) (Q3)"
844;12000154553;Journal of Otolaryngology - Head and Neck Surgery;journal;19160216;0,842;Q1;41;76;188;1818;402;181;2,39;23,92;United Kingdom;BioMed Central;2008-ongoing;"Otorhinolaryngology (Q1); Surgery (Q1)"
845;19700174903;Journal of Pain Research;journal;11787090;0,842;Q1;37;335;542;14067;1260;508;2,25;41,99;New Zealand;Dove Medical Press Ltd.;2002, 2009-ongoing;Anesthesiology and Pain Medicine (Q1)
846;20000195043;Nature and Science of Sleep;journal;11791608;0,839;Q2;23;41;79;2947;235;74;3,23;71,88;United Kingdom;Dove Medical Press Ltd.;2009-ongoing;"Applied Psychology (Q2); Behavioral Neuroscience (Q3)"
847;21100780794;Engineering;journal;20958099;0,838;Q1;20;111;268;4420;1077;225;4,8;39,82;United Kingdom;Elsevier Limited;2015-ongoing;"Chemical Engineering (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Engineering (miscellaneous) (Q1); Environmental Engineering (Q1); Materials Science (miscellaneous) (Q1)"
848;21100853567;Journal of Genomics;journal;18399940;0,837;Q2;3;0;4;0;10;4;2;0;Australia;Ivyspring International Publisher;2015-ongoing;"Biochemistry (Q2); Genetics (Q3)"
849;21100284963;World Journal of Orthopaedics;journal;22185836;0,835;Q2;31;40;349;1252;896;320;1,85;31,3;China;di xue qian yuan bian ji bu;2010-ongoing;Orthopedics and Sports Medicine (Q2)
850;13902;Cellular and Molecular Biology Letters;journal;16891392, 14258153;0,834;Q2;45;58;117;2476;280;116;3,47;42,69;United Kingdom;BioMed Central Ltd.;1996-ongoing;"Biochemistry (Q2); Cell Biology (Q3); Molecular Biology (Q3)"
851;21100869487;Forest Ecosystems;journal;21975620, 20956355;0,834;Q1;12;26;93;1897;209;89;1,93;72,96;United Kingdom;SpringerOpen;2014-ongoing;"Forestry (Q1); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2)"
852;130020;International Journal of Medical Sciences;journal;14491907;0,834;Q2;49;214;422;8591;1059;420;2,37;40,14;Canada;Ivyspring International Publisher;2005-ongoing;Medicine (miscellaneous) (Q2)
853;4400151518;Physical Review Special Topics - Physics Education Research;journal;15549178;0,834;Q1;36;0;58;0;161;55;0;0;United States;American Physical Society;2005-2015;"Education (Q1); Physics and Astronomy (miscellaneous) (Q1)"
854;21100873115;Annals of Pediatric Endocrinology and Metabolism;journal;22871012, 22871292;0,833;Q2;5;39;12;1085;30;12;2,56;27,82;South Korea;Korean society of pediatric endocrinology;2015-ongoing;"Endocrinology, Diabetes and Metabolism (Q2); Pediatrics, Perinatology and Child Health (Q2)"
855;13727;BMC Ophthalmology;journal;14712415;0,833;Q2;35;343;687;8619;1249;681;1,6;25,13;United Kingdom;BioMed Central;2001-ongoing;"Medicine (miscellaneous) (Q2); Ophthalmology (Q2)"
856;21264;Drugs in R and D;journal;11745886;0,833;Q2;39;37;139;1153;350;130;2,38;31,16;United Kingdom;Adis International Ltd.;1999, 2002-2008, 2010-ongoing;Pharmacology (Q2)
857;25221;New York Journal of Mathematics;journal;10769803;0,833;Q1;24;55;207;1040;128;206;0,59;18,91;United States;Electronic Journals Project;1996-ongoing;Mathematics (miscellaneous) (Q1)
858;19700201682;International Journal of Smart and Nano Materials;journal;19475411, 1947542X;0,831;Q1;18;18;46;702;192;45;4,5;39;United Kingdom;Taylor and Francis Inc.;2010-ongoing;Materials Science (miscellaneous) (Q1)
859;21100200416;Journal of Mathematical Neuroscience;journal;21908567;0,831;Q3;12;12;43;702;72;42;2,18;58,5;Germany;Springer Verlag;2012-ongoing;Neuroscience (miscellaneous) (Q3)
860;18200156708;Journal of Optometry;journal;19891342, 18884296;0,83;Q1;19;50;115;1430;190;110;1,45;28,6;Spain;Colegio Nacional de Opticos-Optometristas de Espana;2008-ongoing;Optometry (Q1)
861;25411;BMC Endocrine Disorders;journal;14726823;0,829;Q2;33;98;230;2966;500;223;1,93;30,27;United Kingdom;BioMed Central;2001-ongoing;"Endocrinology, Diabetes and Metabolism (Q2); Medicine (miscellaneous) (Q2)"
862;21100433204;Health promotion and chronic disease prevention in Canada : research, policy and practice;journal;2368738X;0,829;Q2;10;55;131;1099;194;90;1,97;19,98;Canada;Public Health Agency of Canada;2015-ongoing;"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3)"
863;21100833818;Biomaterials Research;journal;20557124;0,828;Q1;14;32;88;1625;341;83;4,83;50,78;United States;John Wiley and Sons Inc.;2014-ongoing;"Ceramics and Composites (Q1); Biomaterials (Q2); Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2)"
864;11700154623;Pediatric Rheumatology;journal;15460096;0,827;Q2;30;83;323;2551;613;319;2,88;30,73;United Kingdom;BioMed Central;2007-ongoing;"Pediatrics, Perinatology and Child Health (Q2); Rheumatology (Q2); Immunology and Allergy (Q3)"
865;21100197706;International Journal of Naval Architecture and Ocean Engineering;journal;20926790, 20926782;0,826;Q1;16;69;189;1532;381;188;1,97;22,2;Netherlands;Elsevier BV;2009-ongoing;"Ocean Engineering (Q1); Control and Systems Engineering (Q2)"
866;19700175822;Journal of Multidisciplinary Healthcare;journal;11782390;0,824;Q1;22;71;177;2735;411;167;2,61;38,52;New Zealand;Dove Medical Press Ltd;2008-ongoing;"Nursing (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
867;21100274275;Journal of Tissue Engineering;journal;20417314;0,823;Q2;20;39;84;2512;261;84;3,37;64,41;United Kingdom;SAGE-Hindawi Access to Research;2010-2013;"Biomaterials (Q2); Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2)"
868;21100788306;Physical Review Accelerators and Beams;journal;24699888;0,823;Q1;13;206;431;6040;819;415;1,97;29,32;United States;American Physical Society;2016-ongoing;"Physics and Astronomy (miscellaneous) (Q1); Surfaces and Interfaces (Q1); Nuclear and High Energy Physics (Q2)"
869;19900193277;Western Journal of Emergency Medicine;journal;1936900X, 19369018;0,823;Q1;27;167;581;3869;949;487;1,75;23,17;United States;University of California;2011-ongoing;"Emergency Medicine (Q1); Medicine (miscellaneous) (Q2)"
870;19700175092;International Journal of Nephrology and Renovascular Disease;journal;11787058;0,822;Q2;21;36;91;1572;220;91;2,59;43,67;New Zealand;Dove Medical Press Ltd.;2009-ongoing;Nephrology (Q2)
871;21100817638;Journal of the Saudi Society of Agricultural Sciences;journal;1658077X;0,822;Q1;20;126;102;2785;345;102;3,54;22,1;Saudi Arabia;King Saud University;2011-ongoing;Agricultural and Biological Sciences (miscellaneous) (Q1)
872;4400151742;Beilstein Journal of Organic Chemistry;journal;18605397;0,821;Q2;57;222;889;11937;2100;861;2,54;53,77;Germany;Beilstein-Institut;2005-ongoing;Organic Chemistry (Q2)
873;21100775632;IZA Journal of Labor and Development;journal;21939020;0,821;Q1;8;0;44;0;48;43;0,95;0;United Kingdom;Springer Open;2012-2017;"Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q2)"
874;17135;Materiales de Construccion;journal;4652746;0,821;Q1;24;33;107;1463;208;100;2,15;44,33;Spain;CSIC Consejo Superior de Investigaciones Cientificas;1996-ongoing;"Building and Construction (Q1); Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2)"
875;21100817119;Research in Number Theory;journal;23639555;0,821;Q1;4;45;93;1011;57;91;0,58;22,47;United Kingdom;Springer Open;2015-ongoing;Algebra and Number Theory (Q1)
876;21100389521;Eye and Brain;journal;11792744;0,819;Q2;8;9;29;643;83;29;3,26;71,44;New Zealand;Dove Medical Press Ltd.;2014-ongoing;"Ophthalmology (Q2); Cellular and Molecular Neuroscience (Q3); Sensory Systems (Q3)"
877;19700173130;Food and Nutrition Research;journal;1654661X, 16546628;0,819;Q1;30;45;225;1901;609;221;2,77;42,24;United Kingdom;Taylor & Francis;2008-ongoing;"Food Science (Q1); Nutrition and Dietetics (Q2); Public Health, Environmental and Occupational Health (Q2)"
